NumWebPurchases,Income,Recency,NumWebVisitsMonth,cluster_em,cluster_em_probability
8,58138.0,58,7,2,0.9999999961224155
1,46344.0,38,5,0,0.8794581551201208
8,71613.0,26,4,2,0.9999999998065849
2,26646.0,26,6,0,0.9942001444280949
5,58293.0,94,5,2,0.99713122137805
6,62513.0,16,6,2,0.9999645570262449
7,55635.0,34,6,2,0.9999991455897161
4,33454.0,32,8,0,0.6514087697536072
3,30351.0,19,9,0,0.9660209959534056
1,5648.0,68,20,0,0.9999932089100543
2,7500.0,59,8,0,0.9991543055040298
3,63033.0,82,2,2,0.9520036579119263
6,59354.0,53,6,2,0.9999325336488653
1,17323.0,38,8,0,0.9985988552554036
7,82800.0,23,3,2,0.9999999961634769
3,41850.0,51,8,0,0.8817543665901978
4,37760.0,20,7,0,0.5078870310606697
11,76995.0,91,5,2,1.0
2,33812.0,86,6,0,0.9804934115277837
4,37040.0,41,8,0,0.5726101900287278
0,2447.0,42,1,0,0.9999967683518023
2,58607.0,63,8,0,0.8010795567636396
6,65324.0,0,4,2,0.9999896863500829
7,40689.0,69,8,2,0.9999932527352129
2,18589.0,89,7,0,0.9974277266880434
5,53359.0,4,7,2,0.9927889247808901
2,38360.0,26,3,0,0.9733419545137542
6,84618.0,96,2,2,0.9999997764816194
3,10979.0,34,5,0,0.9989556091262239
2,38620.0,56,3,0,0.970678358430946
2,40548.0,31,5,0,0.9459907959841404
4,46610.0,8,6,2,0.7864937825877435
3,68657.0,4,7,2,0.8585051798253123
2,49389.0,55,7,0,0.8705985722110148
5,67353.0,37,2,2,0.9997827134489917
3,23718.0,76,7,0,0.982186084063773
1,42429.0,99,5,0,0.9290072471604521
7,48948.0,53,6,2,0.999997805744393
8,80011.0,3,4,2,0.9999999999602895
2,20559.0,88,8,0,0.9961472501425332
0,21994.0,4,5,0,0.9979882170412233
2,7500.0,19,5,0,0.9998645083747765
2,79941.0,72,1,2,0.9989895818193623
3,7500.0,24,9,0,0.9947837926098008
2,41728.0,92,10,0,0.9862510856064108
5,72550.0,39,8,2,0.9975929220099061
4,65486.0,29,2,2,0.9955184045441849
6,79143.0,2,3,2,0.9999994520533653
2,35790.0,54,7,0,0.9766386083132745
4,82582.0,54,1,2,0.9999423897307868
4,66373.0,57,3,2,0.9950971098606517
3,82384.0,55,1,2,0.9997215564132927
5,70287.0,30,3,2,0.9998627927109899
1,27938.0,31,3,0,0.9979678725648043
8,55954.0,63,7,2,0.9999999950740945
3,75777.0,12,1,2,0.9985750927513015
4,66653.0,18,3,2,0.9959732506000334
8,61823.0,26,7,2,0.9999999979404111
7,67680.0,8,5,2,0.999999897677755
7,70666.0,29,4,2,0.9999999466325004
1,25721.0,75,7,0,0.9955942751306066
1,32474.0,0,7,0,0.9908428844966514
11,88194.0,19,5,2,1.0
5,69096.0,4,4,2,0.9997872403426812
2,74854.0,90,5,2,0.9642097518494426
4,66991.0,1,3,2,0.9964818335430498
10,65031.0,29,7,2,0.9999999999999982
9,60631.0,88,7,2,0.9999999999937028
2,28332.0,58,2,0,0.998326877542423
1,40246.0,68,6,0,0.95962266076195
7,75251.0,34,5,2,0.9999999570793165
5,75825.0,40,4,2,0.999923589823979
0,26326.0,12,3,0,0.9975391431393915
10,56046.0,9,8,2,0.9999999999999973
3,29760.0,87,8,0,0.9631944728038587
1,26304.0,5,7,0,0.9961904793488883
3,23559.0,87,7,0,0.9824045042291227
2,38620.0,56,3,0,0.970678358430946
3,81361.0,18,1,2,0.999672039298339
1,29440.0,95,7,0,0.992088708475641
3,36138.0,48,7,0,0.9201287663185194
6,50388.0,3,7,2,0.9998035683815829
5,79593.0,70,2,2,0.9999836801692608
2,54178.0,79,2,2,0.5101974548906394
1,42394.0,69,7,0,0.956550512564501
3,23626.0,84,5,0,0.9902996809471718
2,30096.0,30,6,0,0.9899382775382478
7,47916.0,72,6,2,0.999997167597255
2,51813.0,37,7,0,0.829660471854038
5,78497.0,44,2,2,0.9999819698136834
5,50150.0,32,5,2,0.9921441629401965
2,47823.0,0,8,0,0.9309211242649043
