NumWebPurchases,Income,Recency,NumWebVisitsMonth,cluster_kmeans
8,58138.0,58,7,1
1,46344.0,38,5,0
8,71613.0,26,4,1
2,26646.0,26,6,0
5,58293.0,94,5,2
6,62513.0,16,6,1
7,55635.0,34,6,1
4,33454.0,32,8,0
3,30351.0,19,9,0
1,5648.0,68,20,0
2,7500.0,59,8,0
3,63033.0,82,2,2
6,59354.0,53,6,1
1,17323.0,38,8,0
7,82800.0,23,3,2
3,41850.0,51,8,0
4,37760.0,20,7,0
11,76995.0,91,5,1
2,33812.0,86,6,0
4,37040.0,41,8,0
0,2447.0,42,1,0
2,58607.0,63,8,0
6,65324.0,0,4,1
7,40689.0,69,8,1
2,18589.0,89,7,0
5,53359.0,4,7,1
2,38360.0,26,3,0
6,84618.0,96,2,2
3,10979.0,34,5,0
2,38620.0,56,3,0
2,40548.0,31,5,0
4,46610.0,8,6,0
3,68657.0,4,7,0
2,49389.0,55,7,0
5,67353.0,37,2,2
3,23718.0,76,7,0
1,42429.0,99,5,0
7,48948.0,53,6,1
8,80011.0,3,4,1
2,20559.0,88,8,0
0,21994.0,4,5,0
2,7500.0,19,5,0
2,79941.0,72,1,2
3,7500.0,24,9,0
2,41728.0,92,10,0
5,72550.0,39,8,1
4,65486.0,29,2,2
6,79143.0,2,3,2
2,35790.0,54,7,0
4,82582.0,54,1,2
4,66373.0,57,3,2
3,82384.0,55,1,2
5,70287.0,30,3,2
1,27938.0,31,3,0
8,55954.0,63,7,1
3,75777.0,12,1,2
4,66653.0,18,3,2
8,61823.0,26,7,1
7,67680.0,8,5,1
7,70666.0,29,4,1
1,25721.0,75,7,0
1,32474.0,0,7,0
11,88194.0,19,5,1
5,69096.0,4,4,2
2,74854.0,90,5,2
4,66991.0,1,3,2
10,65031.0,29,7,1
9,60631.0,88,7,1
2,28332.0,58,2,2
1,40246.0,68,6,0
7,75251.0,34,5,1
5,75825.0,40,4,2
0,26326.0,12,3,0
10,56046.0,9,8,1
3,29760.0,87,8,0
1,26304.0,5,7,0
3,23559.0,87,7,0
2,38620.0,56,3,0
3,81361.0,18,1,2
1,29440.0,95,7,0
3,36138.0,48,7,0
6,50388.0,3,7,1
5,79593.0,70,2,2
2,54178.0,79,2,2
1,42394.0,69,7,0
3,23626.0,84,5,0
2,30096.0,30,6,0
7,47916.0,72,6,1
2,51813.0,37,7,0
5,78497.0,44,2,2
5,50150.0,32,5,1
2,47823.0,0,8,0
2,34554.0,43,6,0
9,85693.0,59,5,1
6,65846.0,68,4,2
3,87195.0,35,1,2
1,24594.0,94,5,0
4,49096.0,15,7,0
6,52413.0,56,6,1
3,38557.0,17,7,0
5,89058.0,18,2,2
6,77298.0,46,3,2
7,68126.0,40,9,1
8,57288.0,27,6,1
6,86037.0,95,3,2
6,43974.0,19,7,1
2,50785.0,27,6,0
4,90765.0,25,1,2
9,36550.0,74,9,1
1,30753.0,85,5,0
2,21918.0,37,6,0
6,56129.0,65,4,1
