MntWines,Income,Kidhome,Marital_Status,cluster_em,cluster_em_probability
635,58138.0,0,Single,0,0.999999944711371
11,46344.0,1,Single,1,0.9999990624944199
426,71613.0,0,Partner,0,0.9999998989613592
11,26646.0,1,Partner,1,0.9999994697585282
173,58293.0,1,Partner,1,0.9999946465146757
520,62513.0,0,Partner,0,0.9999999043017783
235,55635.0,0,Single,0,0.9999999937240904
76,33454.0,1,Partner,1,0.9999993170722505
14,30351.0,1,Partner,1,0.9999994770898492
28,5648.0,1,Partner,1,0.9999910091264723
6,7500.0,0,Partner,0,0.9999999785525777
194,63033.0,0,Single,0,0.9999999916735511
233,59354.0,1,Single,1,0.9999960833724441
3,17323.0,0,Partner,0,0.9999999927458365
1006,82800.0,0,Single,0,0.9999995398610111
53,41850.0,1,Partner,1,0.9999991097614417
84,37760.0,0,Partner,0,0.999999994598662
1012,76995.0,0,Partner,0,0.9999981442330783
4,33812.0,1,Single,1,0.999999706263497
86,37040.0,0,Partner,0,0.9999999944721658
1,2447.0,1,Partner,1,0.9999894757053165
867,58607.0,0,Partner,0,0.9999989588662717
384,65324.0,0,Partner,0,0.9999999439698433
270,40689.0,0,Partner,0,0.9999999800996078
6,18589.0,0,Single,0,0.9999999970856699
173,53359.0,1,Partner,1,0.9999970649250077
36,38360.0,1,Partner,1,0.9999992928872117
684,84618.0,0,Partner,0,0.9999993327163464
8,10979.0,0,Single,0,0.999999993668748
112,38620.0,0,Partner,0,0.999999993483879
110,40548.0,0,Partner,0,0.9999999936629589
96,46610.0,0,Single,0,0.9999999975692351
482,68657.0,0,Partner,0,0.9999998978773802
40,49389.0,1,Single,1,0.9999988663801243
702,67353.0,0,Partner,0,0.9999997130337487
6,23718.0,1,Partner,1,0.9999994291398457
55,42429.0,0,Single,0,0.9999999981896055
437,48948.0,0,Single,0,0.9999999816926268
421,80011.0,0,Partner,0,0.9999997742437727
13,20559.0,1,Partner,1,0.9999992703887642
9,21994.0,0,Partner,0,0.9999999946113443
3,7500.0,1,Partner,1,0.9999962752317669
123,79941.0,0,Single,0,0.9999999419211124
3,7500.0,0,Partner,0,0.999999979287159
13,41728.0,1,Partner,1,0.9999989345299883
826,72550.0,1,Partner,2,0.9999916961099478
245,65486.0,0,Single,0,0.9999999882712416
650,79143.0,0,Partner,0,0.9999996178657204
12,35790.0,1,Single,1,0.9999996822569867
510,82582.0,0,Single,0,0.9999998935216
328,66373.0,1,Partner,1,0.9999533013427926
984,82384.0,0,Partner,0,0.9999982319240742
295,70287.0,0,Single,0,0.9999999797762948
13,27938.0,1,Single,1,0.9999997216193869
447,55954.0,0,Partner,0,0.9999999432263936
712,75777.0,0,Single,0,0.9999998931205848
452,66653.0,1,Partner,1,0.999237657667222
523,61823.0,0,Single,0,0.9999999706291853
546,67680.0,0,Single,0,0.9999999613065346
398,70666.0,0,Partner,0,0.9999999146555575
1,25721.0,1,Partner,1,0.9999994779750837
10,32474.0,1,Partner,1,0.9999994539976561
688,88194.0,0,Single,0,0.9999997431034259
247,69096.0,0,Partner,0,0.9999999531652268
856,74854.0,1,Partner,2,0.9999985388386076
496,66991.0,0,Partner,0,0.9999999004532129
258,65031.0,0,Partner,0,0.9999999660971804
565,60631.0,1,Partner,1,0.9086447415886443
14,28332.0,0,Partner,0,0.9999999959796915
2,40246.0,1,Single,1,0.9999995308665034
721,75251.0,0,Partner,0,0.9999996001176843
1032,75825.0,0,Single,0,0.9999995157409147
1,26326.0,0,Partner,0,0.9999999960669923
577,56046.0,0,Partner,0,0.9999998687729759
64,29760.0,1,Single,1,0.9999996312022331
4,26304.0,1,Partner,1,0.9999994792294912
25,23559.0,1,Partner,1,0.9999993452411621
112,38620.0,0,Partner,0,0.999999993483879
