MntWines,Income,Kidhome,Marital_Status,cluster_kmeans
635,58138.0,0,Single,0
11,46344.0,1,Single,1
426,71613.0,0,Partner,0
11,26646.0,1,Partner,1
173,58293.0,1,Partner,1
520,62513.0,0,Partner,0
235,55635.0,0,Single,2
76,33454.0,1,Partner,1
14,30351.0,1,Partner,1
28,5648.0,1,Partner,1
6,7500.0,0,Partner,2
194,63033.0,0,Single,2
233,59354.0,1,Single,1
3,17323.0,0,Partner,2
1006,82800.0,0,Single,0
53,41850.0,1,Partner,1
84,37760.0,0,Partner,2
1012,76995.0,0,Partner,0
4,33812.0,1,Single,1
86,37040.0,0,Partner,2
1,2447.0,1,Partner,1
867,58607.0,0,Partner,0
384,65324.0,0,Partner,2
270,40689.0,0,Partner,2
6,18589.0,0,Single,2
173,53359.0,1,Partner,1
36,38360.0,1,Partner,1
684,84618.0,0,Partner,0
8,10979.0,0,Single,2
112,38620.0,0,Partner,2
110,40548.0,0,Partner,2
96,46610.0,0,Single,2
482,68657.0,0,Partner,0
40,49389.0,1,Single,1
702,67353.0,0,Partner,0
6,23718.0,1,Partner,1
55,42429.0,0,Single,2
437,48948.0,0,Single,2
421,80011.0,0,Partner,0
13,20559.0,1,Partner,1
9,21994.0,0,Partner,2
3,7500.0,1,Partner,1
123,79941.0,0,Single,2
3,7500.0,0,Partner,2
13,41728.0,1,Partner,1
826,72550.0,1,Partner,0
245,65486.0,0,Single,2
650,79143.0,0,Partner,0
12,35790.0,1,Single,1
510,82582.0,0,Single,0
328,66373.0,1,Partner,1
984,82384.0,0,Partner,0
295,70287.0,0,Single,2
13,27938.0,1,Single,1
447,55954.0,0,Partner,2
712,75777.0,0,Single,0
452,66653.0,1,Partner,1
523,61823.0,0,Single,0
546,67680.0,0,Single,0
398,70666.0,0,Partner,2
1,25721.0,1,Partner,1
10,32474.0,1,Partner,1
688,88194.0,0,Single,0
247,69096.0,0,Partner,2
856,74854.0,1,Partner,0
496,66991.0,0,Partner,0
258,65031.0,0,Partner,2
565,60631.0,1,Partner,1
14,28332.0,0,Partner,2
2,40246.0,1,Single,1
721,75251.0,0,Partner,0
1032,75825.0,0,Single,0
1,26326.0,0,Partner,2
577,56046.0,0,Partner,0
64,29760.0,1,Single,1
4,26304.0,1,Partner,1
25,23559.0,1,Partner,1
112,38620.0,0,Partner,2
163,81361.0,0,Single,2
17,29440.0,1,Partner,1
130,36138.0,1,Partner,1
292,50388.0,0,Single,2
350,79593.0,0,Partner,0
135,54178.0,0,Partner,2
15,42394.0,1,Single,1
27,23626.0,1,Partner,1
5,30096.0,1,Partner,1
505,47916.0,0,Single,2
51,51813.0,1,Single,1
207,78497.0,0,Partner,2
135,50150.0,0,Partner,2
53,47823.0,0,Single,2
41,34554.0,0,Single,2
386,85693.0,0,Partner,0
562,65846.0,0,Partner,0
217,87195.0,0,Partner,2
1,24594.0,1,Partner,1
144,49096.0,1,Partner,1
295,52413.0,0,Partner,2
76,38557.0,1,Single,1
454,89058.0,0,Partner,0
425,77298.0,0,Partner,0
1332,68126.0,0,Single,0
527,57288.0,0,Partner,0
490,86037.0,0,Single,0
378,43974.0,1,Partner,1
64,50785.0,1,Single,1
547,90765.0,0,Partner,0
47,36550.0,1,Partner,1
12,30753.0,1,Partner,1
1,21918.0,1,Partner,1
320,56129.0,0,Partner,2
34,32557.0,1,Single,1
9,19510.0,2,Partner,1
17,30992.0,1,Single,1
722,101970.0,0,Single,0
162,71488.0,0,Partner,2
450,79607.0,0,Single,0
70,54348.0,1,Partner,1
492,77376.0,1,Partner,0
120,62998.0,0,Partner,2
534,61331.0,1,Single,1
236,73448.0,0,Partner,2
220,41551.0,1,Partner,1
796,62981.0,0,Partner,0
0,9548.0,1,Single,1
53,33762.0,2,Partner,1
15,35860.0,1,Single,1
17,36921.0,1,Single,1
962,92859.0,0,Single,0
738,65104.0,0,Partner,0
399,86111.0,0,Partner,0
614,68352.0,0,Single,0
32,41883.0,1,Partner,1
598,59809.0,0,Partner,0
2,23957.0,1,Partner,1
6,38547.0,1,Partner,1
73,35688.0,2,Partner,1
42,49605.0,0,Partner,2
295,59354.0,0,Partner,2
346,65747.0,0,Partner,2
233,46344.0,0,Partner,2
5,34176.0,1,Single,1
888,61010.0,0,Partner,0
997,69372.0,0,Partner,0
212,49967.0,0,Single,2
8,60199.0,1,Single,1
