Response,Income,Recency,NumCatalogPurchases,cluster_em,cluster_em_probability
1,58138.0,58,10,1,1.0
0,46344.0,38,1,0,0.9729470482003684
0,71613.0,26,2,0,0.7194617915083155
0,26646.0,26,0,0,0.9868822910275186
0,58293.0,94,3,2,0.6102040536045492
0,62513.0,16,4,2,0.996687363669895
0,55635.0,34,3,2,0.7388088065089261
0,33454.0,32,0,0,0.9841189697727042
1,30351.0,19,0,1,1.0
0,5648.0,68,0,0,0.9595209758602475
0,7500.0,59,0,0,0.9659651808079871
0,63033.0,82,4,2,0.9924254586275842
0,59354.0,53,1,0,0.9167465758268826
0,17323.0,38,0,0,0.9835252161566572
1,82800.0,23,6,1,1.0
0,41850.0,51,0,0,0.9678035656557038
0,37760.0,20,1,0,0.9768028123588824
0,76995.0,91,4,2,0.9849667709020694
0,33812.0,86,1,0,0.9775431416781919
0,37040.0,41,2,0,0.8025165691253949
0,2447.0,42,28,2,1.0
0,58607.0,63,3,2,0.6625740688116533
0,65324.0,0,2,0,0.8271792737881861
0,40689.0,69,1,0,0.9771102046227044
0,18589.0,89,1,0,0.941379568760399
0,53359.0,4,1,0,0.9613087629185068
0,38360.0,26,1,0,0.9769825522777699
0,84618.0,96,9,2,1.0
0,10979.0,34,0,0,0.9744050924666208
0,38620.0,56,5,2,0.9999999859375033
0,40548.0,31,1,0,0.9769348903253765
1,46610.0,8,1,1,1.0
0,68657.0,4,5,2,0.9999933064504182
0,49389.0,55,0,0,0.9182596207160383
0,67353.0,37,6,2,0.9999999985505894
0,23718.0,76,1,0,0.9613512737085749
0,42429.0,99,1,0,0.9763605985298354
1,48948.0,53,10,1,1.0
0,80011.0,3,6,2,0.9999999908404003
0,20559.0,88,0,0,0.9851718257655585
0,21994.0,4,0,0,0.9866787582952885
0,7500.0,19,0,0,0.9628993877357334
0,79941.0,72,4,2,0.9875059195709466
1,7500.0,24,1,1,1.0
0,41728.0,92,0,0,0.9607746755804756
0,72550.0,39,2,0,0.6912177704611724
0,65486.0,29,2,0,0.8237278048998754
0,79143.0,2,9,2,1.0
0,35790.0,54,0,0,0.980249774415162
1,82582.0,54,9,1,1.0
0,66373.0,57,2,0,0.8117742914993096
1,82384.0,55,10,1,1.0
1,70287.0,30,5,1,1.0
0,27938.0,31,0,0,0.9865718703565864
0,55954.0,63,2,0,0.8908216573953472
1,75777.0,12,6,1,1.0
0,66653.0,18,2,0,0.8101027577288984
0,61823.0,26,2,0,0.8570938559388936
0,67680.0,8,3,2,0.7044042214007227
0,70666.0,29,4,2,0.9928032298987102
1,25721.0,75,1,1,1.0
0,32474.0,0,0,0,0.9865386005325012
1,88194.0,19,10,1,1.0
0,69096.0,4,2,0,0.77628363759541
0,74854.0,90,5,2,0.9999464338942506
0,66991.0,1,8,2,1.0
0,65031.0,29,3,2,0.6815299029845162
0,60631.0,88,2,0,0.8736429894643476
0,28332.0,58,1,0,0.9700254553158976
0,40246.0,68,0,0,0.9699462330778144
1,75251.0,34,6,1,1.0
1,75825.0,40,8,1,1.0
0,26326.0,12,0,0,0.9873248472786553
1,56046.0,9,1,1,1.0
0,29760.0,87,1,0,0.9745655250709435
0,26304.0,5,0,0,0.9875457403928932
0,23559.0,87,0,0,0.9856043926394186
0,38620.0,56,5,2,0.9999999859375033
0,81361.0,18,10,2,1.0
0,29440.0,95,0,0,0.9838052866265972
0,36138.0,48,1,0,0.9769085564242921
1,50388.0,3,1,1,1.0
0,79593.0,70,6,2,0.9999999696278727
0,54178.0,79,2,0,0.8992236073651623
0,42394.0,69,0,0,0.9624938073401037
0,23626.0,84,1,0,0.9624184171029962
0,30096.0,30,0,0,0.986036398935922
0,47916.0,72,4,2,0.9991309129692981
0,51813.0,37,0,0,0.8983568460279957
0,78497.0,44,7,2,0.9999999999993179
0,50150.0,32,2,0,0.8862907497753538
0,47823.0,0,0,0,0.9547515617445621
0,34554.0,43,0,0,0.9824653601219356
0,85693.0,59,5,2,0.9999295879918848
0,65846.0,68,3,2,0.6325391909258806
1,87195.0,35,11,1,1.0
0,24594.0,94,0,0,0.9854624364243713
0,49096.0,15,1,0,0.9700825702242679
0,52413.0,56,4,2,0.9985307071993395
0,38557.0,17,1,0,0.9769331480960961
0,89058.0,18,4,2,0.9937445608771048
0,77298.0,46,6,2,0.9999999868615803
1,68126.0,40,4,1,1.0
0,57288.0,27,1,0,0.9399958105634357
1,86037.0,95,7,1,1.0
0,43974.0,19,4,2,0.9998283733707249
0,50785.0,27,1,0,0.9658656369086289
0,90765.0,25,6,2,0.9999999463973109
0,36550.0,74,1,0,0.977804332157839
0,30753.0,85,1,0,0.9754215862257339
0,21918.0,37,0,0,0.9860414595360601
0,56129.0,65,2,0,0.8907864098866153
1,32557.0,13,1,1,1.0
0,19510.0,63,0,0,0.9848559783292872
0,30992.0,83,0,0,0.9832460079530382
1,101970.0,69,8,1,1.0
0,71488.0,87,4,2,0.9867469935118555
1,79607.0,37,6,1,1.0
0,54348.0,51,0,0,0.8360874867566058
0,77376.0,72,3,2,0.7400290300071888
0,62998.0,10,4,2,0.9967445756130675
0,61331.0,42,1,0,0.8985378035186656
0,73448.0,10,2,0,0.6797332788597573
0,41551.0,51,1,0,0.9766272318786824
0,62981.0,21,5,2,0.9999965966716466
0,9548.0,31,0,0,0.9706484105662095
0,33762.0,61,2,0,0.7712169467516251
1,35860.0,37,1,1,1.0
0,36921.0,74,0,0,0.9767846752565692
0,92859.0,46,4,2,0.9945450885840073
1,65104.0,4,5,1,1.0
0,86111.0,73,7,2,0.9999999999926841
0,68352.0,47,5,2,0.9999873918714552
0,41883.0,13,2,0,0.8362527680436506
0,59809.0,36,3,2,0.6948848204269427
1,23957.0,47,0,1,1.0
0,38547.0,49,0,0,0.9763633037987054
0,35688.0,94,1,0,0.9784434203027491
0,49605.0,65,1,0,0.9661155548353774
0,59354.0,59,4,2,0.9960632830072563
0,65747.0,96,1,0,0.7716163968962322
0,46344.0,28,1,0,0.9732877960187305
0,34176.0,12,0,0,0.984855098177595
0,61010.0,57,5,2,0.999995568099647
1,69372.0,10,4,1,1.0
0,49967.0,4,1,0,0.9693315795560602
0,60199.0,49,0,0,0.6197274204903308
0,55375.0,3,1,0,0.9543434678931093
0,80317.0,64,4,2,0.9883420761198326
0,30523.0,0,0,0,0.9872421947069484
0,70356.0,20,6,2,0.9999999980035268
0,23228.0,91,0,0,0.9855528857736718
0,74165.0,9,4,2,0.9930213144169299
0,157243.0,98,22,2,1.0
0,43482.0,83,0,0,0.9544148825556528
0,62551.0,27,7,2,0.9999999999999962
0,52332.0,63,2,0,0.8970021524049053
0,66951.0,46,4,2,0.9931793185668228
0,26091.0,84,1,0,0.9685916897871906
0,33456.0,58,0,0,0.9825295235704128
0,28718.0,78,0,0,0.9847427338907623
0,50447.0,4,1,0,0.9684344547774013
0,53537.0,17,1,0,0.9591251133441788
0,52074.0,77,2,0,0.9015059640622857
0,80427.0,56,8,2,1.0
1,83837.0,79,10,1,1.0
0,38853.0,90,0,0,0.9708146434728768
0,38285.0,96,0,0,0.9715748069969692
0,78497.0,44,7,2,0.9999999999993179
0,51650.0,81,1,0,0.959187977740218
0,16248.0,77,1,0,0.9182559133702022
0,66835.0,21,4,2,0.9948131079009338
0,30477.0,16,1,0,0.9703726710227749
0,28249.0,80,0,0,0.9848738444720958
0,25271.0,45,1,0,0.9613667562695944
0,32303.0,63,0,0,0.9832237001266959
0,61286.0,34,1,0,0.9024776879144466
0,74068.0,14,10,2,1.0
0,45759.0,13,0,0,0.9611622975878441
0,24882.0,52,1,0,0.9611792417539161
0,66973.0,98,7,2,0.9999999999998803
0,36640.0,99,1,0,0.978701663721094
0,38872.0,93,0,0,0.9703895216146898
0,51148.0,38,1,0,0.9640796804902495
0,31353.0,24,1,0,0.9721412941966214
0,69661.0,80,3,2,0.6372224894458438
0,80067.0,82,6,2,0.9999999588685928
0,86718.0,20,6,2,0.9999999679196828
1,46854.0,81,1,1,1.0
0,69142.0,50,1,0,0.7013416057636573
0,75922.0,60,4,2,0.9886552192657769
0,63693.0,63,6,2,0.9999999989335593
1,102160.0,54,9,1,1.0
0,40637.0,72,0,0,0.968181547377303
1,18890.0,5,1,1,1.0
0,29604.0,88,0,0,0.9839525156915447
0,48721.0,50,2,0,0.8905560247643329
0,44794.0,99,0,0,0.9418837399464893
1,64497.0,17,4,1,1.0
0,46097.0,11,1,0,0.9741790521144733
0,77972.0,18,6,2,0.999999991408604
0,44377.0,70,1,0,0.9745008974223516
0,46014.0,21,1,0,0.9738918377124683
0,70951.0,66,4,2,0.9894958459463582
0,41443.0,79,1,0,0.9768424838627994
0,52195.0,2,0,0,0.9177343445539313
0,83790.0,81,10,2,1.0
0,44551.0,24,1,0,0.9751110786577142
0,69508.0,48,4,2,0.991828587371994
0,45204.0,93,1,0,0.9733471495568886
0,72460.0,56,5,2,0.9999751862677009
0,77622.0,3,3,2,0.7770828977678489
0,30732.0,44,1,0,0.9725460010907923
0,63887.0,38,6,2,0.9999999993663791
0,42011.0,46,1,0,0.9764149751709389
0,51369.0,84,2,0,0.9041971214948313
0,51537.0,27,2,0,0.8860971434562699
0,79930.0,72,5,2,0.9999378211701428
0,34320.0,66,0,0,0.9811374919150031
1,37070.0,30,1,1,1.0
