Kidhome,MntWines,Marital_Status,NumWebPurchases,Recency,Response,Income,NumCatalogPurchases,cluster_em,cluster_em_probability
0,635,Single,8,58,1,58138.0,10,1,0.9999999999985594
1,11,Single,1,38,0,46344.0,1,2,0.9739633697357192
0,426,Partner,8,26,0,71613.0,2,1,0.9999999999439586
1,11,Partner,2,26,0,26646.0,0,2,0.9993716547321007
1,173,Partner,5,94,0,58293.0,3,0,1.0
0,520,Partner,6,16,0,62513.0,4,1,0.9999999999243854
0,235,Single,7,34,0,55635.0,3,1,0.999999999931438
1,76,Partner,4,32,0,33454.0,0,0,0.9350220882794751
1,14,Partner,3,19,1,30351.0,0,2,0.9933479306341628
1,28,Partner,1,68,0,5648.0,0,2,0.9187277771430955
0,6,Partner,2,59,0,7500.0,0,2,0.9981915036208749
0,194,Single,3,82,0,63033.0,4,1,0.999999999938904
1,233,Single,6,53,0,59354.0,1,0,1.0
0,3,Partner,1,38,0,17323.0,0,2,0.9984176647969543
0,1006,Single,7,23,1,82800.0,6,1,0.9999999999942117
1,53,Partner,3,51,0,41850.0,0,2,0.9766265705373478
0,84,Partner,4,20,0,37760.0,1,1,0.9990137944124233
0,1012,Partner,11,91,0,76995.0,4,1,0.9999999999978684
1,4,Single,2,86,0,33812.0,1,2,0.9910666830790096
0,86,Partner,4,41,0,37040.0,2,1,0.9999516634031412
1,1,Partner,0,42,0,2447.0,28,0,1.0
0,867,Partner,2,63,0,58607.0,3,1,0.9999999999282903
0,384,Partner,6,0,0,65324.0,2,1,0.999999999864702
0,270,Partner,7,69,0,40689.0,1,1,0.9999999998601252
0,6,Single,2,89,0,18589.0,1,2,0.9916983597525406
1,173,Partner,5,4,0,53359.0,1,0,1.0
1,36,Partner,2,26,0,38360.0,1,2,0.9962385619767612
0,684,Partner,6,96,0,84618.0,9,1,0.999999999999801
0,8,Single,3,34,0,10979.0,0,2,0.9863991809275886
0,112,Partner,2,56,0,38620.0,5,1,0.9999999990453734
0,110,Partner,2,31,0,40548.0,1,1,0.9999999845601694
0,96,Single,4,8,1,46610.0,1,1,0.9999495979254627
0,482,Partner,3,4,0,68657.0,5,1,0.999999999915012
1,40,Single,2,55,0,49389.0,0,2,0.9952508424917451
0,702,Partner,5,37,0,67353.0,6,1,0.9999999999724865
