Marital_Status,Recency,Kidhome,Response,NumWebPurchases,Income,MntWines,NumCatalogPurchases,cluster_kmeans
Single,58,0,1,8,58138.0,635,10,1
Single,38,1,0,1,46344.0,11,1,0
Partner,26,0,0,8,71613.0,426,2,1
Partner,26,1,0,2,26646.0,11,0,0
Partner,94,1,0,5,58293.0,173,3,0
Partner,16,0,0,6,62513.0,520,4,1
Single,34,0,0,7,55635.0,235,3,2
Partner,32,1,0,4,33454.0,76,0,0
Partner,19,1,1,3,30351.0,14,0,0
Partner,68,1,0,1,5648.0,28,0,0
Partner,59,0,0,2,7500.0,6,0,2
Single,82,0,0,3,63033.0,194,4,2
Single,53,1,0,6,59354.0,233,1,0
Partner,38,0,0,1,17323.0,3,0,2
Single,23,0,1,7,82800.0,1006,6,1
Partner,51,1,0,3,41850.0,53,0,0
Partner,20,0,0,4,37760.0,84,1,2
Partner,91,0,0,11,76995.0,1012,4,1
Single,86,1,0,2,33812.0,4,1,0
Partner,41,0,0,4,37040.0,86,2,2
Partner,42,1,0,0,2447.0,1,28,1
Partner,63,0,0,2,58607.0,867,3,1
Partner,0,0,0,6,65324.0,384,2,2
Partner,69,0,0,7,40689.0,270,1,2
Single,89,0,0,2,18589.0,6,1,2
Partner,4,1,0,5,53359.0,173,1,0
Partner,26,1,0,2,38360.0,36,1,0
Partner,96,0,0,6,84618.0,684,9,1
Single,34,0,0,3,10979.0,8,0,2
Partner,56,0,0,2,38620.0,112,5,2
Partner,31,0,0,2,40548.0,110,1,2
Single,8,0,1,4,46610.0,96,1,2
Partner,4,0,0,3,68657.0,482,5,1
Single,55,1,0,2,49389.0,40,0,0
Partner,37,0,0,5,67353.0,702,6,1
Partner,76,1,0,3,23718.0,6,1,0
Single,99,0,0,1,42429.0,55,1,2
Single,53,0,1,7,48948.0,437,10,1
Partner,3,0,0,8,80011.0,421,6,1
Partner,88,1,0,2,20559.0,13,0,0
Partner,4,0,0,0,21994.0,9,0,2
Partner,19,1,0,2,7500.0,3,0,0
Single,72,0,0,2,79941.0,123,4,2
Partner,24,0,1,3,7500.0,3,1,2
Partner,92,1,0,2,41728.0,13,0,0
Partner,39,1,0,5,72550.0,826,2,1
Single,29,0,0,4,65486.0,245,2,2
Partner,2,0,0,6,79143.0,650,9,1
Single,54,1,0,2,35790.0,12,0,0
Single,54,0,1,4,82582.0,510,9,1
Partner,57,1,0,4,66373.0,328,2,0
Partner,55,0,1,3,82384.0,984,10,1
Single,30,0,1,5,70287.0,295,5,1
Single,31,1,0,1,27938.0,13,0,0
Partner,63,0,0,8,55954.0,447,2,1
Single,12,0,1,3,75777.0,712,6,1
Partner,18,1,0,4,66653.0,452,2,0
Single,26,0,0,8,61823.0,523,2,1
